id,target_date,target_mood,mood_day5,app_usage_day5,mood_day4,app_usage_day4,mood_day3,app_usage_day3,mood_day2,app_usage_day2,mood_day1,app_usage_day1,mood_ma3,mood_ma5,mood_trend,mood_volatility,screen_day5,screen_day4,screen_day3,screen_day2,screen_day1
AS14.01,2014-02-26,6.285714285714286,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
AS14.01,2014-02-27,6.333333333333333,6.285714285714286,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
AS14.01,2014-02-28,7.0,6.333333333333333,0.0,6.285714285714286,0.0,,0.0,,0.0,,0.0,,,,,,,,,
AS14.01,2014-03-01,7.0,7.0,0.0,6.333333333333333,0.0,6.285714285714286,0.0,,0.0,,0.0,6.53968253968254,,,,,,,,
AS14.01,2014-03-03,7.0,7.0,0.0,7.0,0.0,6.333333333333333,0.0,6.285714285714286,0.0,,0.0,6.777777777777778,,,,,,,,
AS14.01,2014-03-05,7.0,7.0,0.0,7.0,0.0,7.0,0.0,6.333333333333333,0.0,6.285714285714286,0.0,7.0,6.723809523809524,0.20952380952381008,0.3385978825644035,,,,,
AS14.01,2014-03-06,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,6.333333333333333,0.0,7.0,6.866666666666665,0.13333333333333405,0.2666666666666668,,,,,
AS14.01,2014-03-07,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,,,,,
AS14.01,2014-03-10,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,,,,,
AS14.01,2014-03-11,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,,,,,
AS14.01,2014-03-12,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,,,,,
AS14.01,2014-03-13,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,,,,,
AS14.01,2014-03-14,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,,,,,
AS14.01,2014-03-15,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,,,,,
AS14.01,2014-03-16,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,,,,,
AS14.01,2014-03-17,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,,,,,
AS14.01,2014-03-18,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,,,,,
AS14.01,2014-03-19,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,,,,,
AS14.01,2014-03-20,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,,,,,
AS14.01,2014-03-21,6.303191489361702,7.0,171.86265567598292,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,7.0,-5.825480911684214e-17,0.0,50.086352003945315,,,,
AS14.01,2014-03-22,6.626780626780627,6.303191489361702,244.14168798950715,7.0,171.86265567598292,7.0,0.0,7.0,0.0,7.0,0.0,6.7677304964539005,6.86063829787234,-0.13936170212766008,0.2787234042553191,56.517363467960514,50.086352003945315,,,
AS14.01,2014-03-23,6.72189349112426,6.626780626780627,240.4968262108262,6.303191489361702,244.14168798950715,7.0,171.86265567598292,7.0,0.0,7.0,0.0,6.643324038714109,6.785994423228466,-0.1443247257077044,0.28136910512621655,46.904900279140215,56.517363467960514,50.086352003945315,,
AS14.01,2014-03-24,5.925233644859813,6.72189349112426,311.31425739644976,6.626780626780627,240.4968262108262,6.303191489361702,244.14168798950715,7.0,171.86265567598292,7.0,0.0,6.550621869088864,6.730373121453317,-0.09294323909708502,0.2602632371846397,69.56894676431394,46.904900279140215,56.517363467960514,50.086352003945315,
AS14.01,2014-03-25,6.514150943396227,5.925233644859813,219.05130685358253,6.72189349112426,311.31425739644976,6.626780626780627,240.4968262108262,6.303191489361702,244.14168798950715,7.0,171.86265567598292,6.424635920921567,6.51541985042528,-0.17308307085178137,0.3696514960487272,57.54884423607975,69.56894676431394,46.904900279140215,56.517363467960514,50.086352003945315
AS14.01,2014-03-26,6.696132596685083,6.514150943396227,286.2027169811321,5.925233644859813,219.05130685358253,6.72189349112426,311.31425739644976,6.626780626780627,240.4968262108262,6.303191489361702,244.14168798950715,6.387092693126767,6.418250039104525,-0.027962807385175495,0.28326135290856264,52.542268865513336,57.54884423607975,69.56894676431394,46.904900279140215,56.517363467960514
AS14.01,2014-03-27,7.0,6.696132596685083,328.5236445672191,6.514150943396227,286.2027169811321,5.925233644859813,219.05130685358253,6.72189349112426,311.31425739644976,6.626780626780627,240.4968262108262,6.378505728313708,6.496838260569203,-0.006903860791911476,0.29471500587232796,39.73906811868727,52.542268865513336,57.54884423607975,69.56894676431394,46.904900279140215
AS14.01,2014-03-28,6.296407185628743,7.0,352.4149230769231,6.696132596685083,328.5236445672191,6.514150943396227,286.2027169811321,5.925233644859813,219.05130685358253,6.72189349112426,311.31425739644976,6.736761180027103,6.571482135213077,0.13271119695767547,0.3585283394134364,61.4874418162735,39.73906811868727,52.542268865513336,57.54884423607975,69.56894676431394
AS14.01,2014-03-29,7.8816793893129775,6.296407185628743,561.6882110584025,7.0,352.4149230769231,6.696132596685083,328.5236445672191,6.514150943396227,286.2027169811321,5.925233644859813,219.05130685358253,6.664179927437942,6.486384874113973,0.12281961381416344,0.3631935526635129,41.94053293630751,61.4874418162735,39.73906811868727,52.542268865513336,57.54884423607975
AS14.01,2014-03-30,7.630252100840337,7.8816793893129775,536.8137022900763,6.296407185628743,561.6882110584025,7.0,352.4149230769231,6.696132596685083,328.5236445672191,6.514150943396227,286.2027169811321,7.0593621916472395,6.877674023004606,0.233533148077716,0.552443277691911,58.8291717431017,41.94053293630751,61.4874418162735,39.73906811868727,52.542268865513336
